,id,genre_ids,name
14018,145014,99,Documentary
14019,109689,18,Drama
14020,109689,10749,Romance
14021,194188,35,Comedy
14022,1260922,27,Horror
14023,1260922,35,Comedy
14024,372217,53,Thriller
14025,372217,18,Drama
14026,372217,10749,Romance
14027,1266536,16,Animation
14028,1266536,10402,Music
14029,76816,18,Drama
14030,76816,14,Fantasy
14031,76816,36,History
14032,595108,10752,War
14033,1019871,18,Drama
14034,1019871,10749,Romance
14035,404141,99,Documentary
14036,404141,10402,Music
14037,25396,16,Animation
14038,25396,14,Fantasy
14039,778433,80,Crime
14040,778433,18,Drama
14041,507787,18,Drama
14042,507787,10770,TV Movie
14043,695678,18,Drama
14044,695678,53,Thriller
14045,695678,10770,TV Movie
14046,458083,10749,Romance
14047,224141,14,Fantasy
14048,224141,35,Comedy
14049,25563,80,Crime
14050,25563,18,Drama
14051,25563,53,Thriller
14052,1398,878,Science Fiction
14053,1398,18,Drama
14054,657,28,Action
14055,657,53,Thriller
14056,657,12,Adventure
14057,33009,35,Comedy
14058,16318,35,Comedy
14059,16318,10749,Romance
14060,973468,18,Drama
14061,973468,10752,War
14062,973468,36,History
14063,973468,18,Drama
14064,973468,10752,War
14065,973468,36,History
14066,86703,27,Horror
14067,86703,28,Action
14068,86703,878,Science Fiction
14069,86703,35,Comedy
14070,298404,28,Action
14071,298404,80,Crime
14072,131815,878,Science Fiction
14073,131815,27,Horror
14074,603583,16,Animation
14075,522845,,
14076,218634,35,Comedy
14077,218634,10749,Romance
14078,487242,878,Science Fiction
14079,487242,28,Action
14080,487242,16,Animation
14081,487242,14,Fantasy
14082,1413643,53,Thriller
14083,1413643,27,Horror
14084,1413643,18,Drama
14085,731507,99,Documentary
14086,731507,10770,TV Movie
14087,731507,36,History
14088,417973,18,Drama
14089,417973,10749,Romance
14090,714869,10749,Romance
14091,714869,35,Comedy
14092,1067946,99,Documentary
14093,832189,18,Drama
14094,832189,9648,Mystery
14095,832189,99,Documentary
14096,80280,27,Horror
14097,701920,35,Comedy
14098,505205,99,Documentary
14099,568645,35,Comedy
14100,568645,10751,Family
14101,568645,10402,Music
14102,441776,18,Drama
14103,441776,10770,TV Movie
14104,1237416,35,Comedy
14105,1237416,10749,Romance
14106,549590,28,Action
14107,549590,80,Crime
14108,549590,53,Thriller
14109,549590,9648,Mystery
14110,200670,878,Science Fiction
14111,200670,18,Drama
14112,764835,53,Thriller
14113,141635,18,Drama
14114,449124,16,Animation
14115,449124,35,Comedy
14116,449124,10751,Family
14117,449124,10749,Romance
14118,16237,16,Animation
14119,16237,28,Action
14120,16237,878,Science Fiction
14121,16237,10770,TV Movie
14122,1109306,35,Comedy
14123,17954,80,Crime
14124,17954,53,Thriller
14125,771185,18,Drama
14126,771185,53,Thriller
14127,116034,18,Drama
14128,588108,10752,War
14129,588108,28,Action
14130,588108,18,Drama
14131,588108,36,History
14132,18174,80,Crime
14133,18174,18,Drama
14134,18174,9648,Mystery
14135,18174,10749,Romance
14136,852565,18,Drama
14137,852565,14,Fantasy
14138,852565,27,Horror
14139,53605,10751,Family
14140,53605,12,Adventure
14141,53605,35,Comedy
14142,137271,18,Drama
14143,137271,10749,Romance
14144,761772,18,Drama
14145,761772,36,History
14146,611605,53,Thriller
14147,611605,18,Drama
14148,611605,27,Horror
14149,611605,53,Thriller
14150,611605,18,Drama
14151,611605,27,Horror
14152,524076,,
14153,532962,37,Western
14154,630004,18,Drama
14155,630004,28,Action
14156,630004,53,Thriller
14157,7006,53,Thriller
14158,7006,27,Horror
14159,7006,14,Fantasy
14160,423675,36,History
14161,423675,18,Drama
14162,2280,14,Fantasy
14163,2280,18,Drama
14164,2280,35,Comedy
14165,2280,10749,Romance
14166,2280,10751,Family
14167,400045,10751,Family
14168,400045,12,Adventure
14169,887701,35,Comedy
14170,97630,53,Thriller
14171,97630,18,Drama
14172,290637,27,Horror
14173,786409,28,Action
14174,786409,878,Science Fiction
14175,97020,878,Science Fiction
14176,97020,28,Action
14177,97020,80,Crime
14178,121869,35,Comedy
14179,121869,10749,Romance
14180,747548,12,Adventure
14181,222116,37,Western
14182,11372,12,Adventure
14183,11372,18,Drama
14184,11372,28,Action
14185,11372,53,Thriller
14186,11372,10752,War
14187,100046,35,Comedy
14188,100046,18,Drama
14189,100046,10749,Romance
14190,794,27,Horror
14191,794,53,Thriller
14192,831410,53,Thriller
14193,831410,27,Horror
14194,831410,35,Comedy
14195,831410,10770,TV Movie
14196,237051,16,Animation
14197,51382,,
14198,972254,53,Thriller
14199,393345,27,Horror
14200,393345,53,Thriller
14201,416603,18,Drama
14202,416603,10402,Music
14203,358175,10402,Music
14204,358175,37,Western
14205,358175,28,Action
14206,243665,99,Documentary
14207,312109,80,Crime
14208,312109,18,Drama
14209,312109,9648,Mystery
14210,553593,18,Drama
